date_id,date,month,quarter,year
1,2024-01-01,1,1,2024
2,2024-01-02,1,1,2024
3,2024-01-03,1,1,2024
4,2024-01-04,1,1,2024
5,2024-01-05,1,1,2024
6,2024-01-06,1,1,2024
7,2024-01-07,1,1,2024
8,2024-01-08,1,1,2024
9,2024-01-09,1,1,2024
10,2024-01-10,1,1,2024
11,2024-01-11,1,1,2024
12,2024-01-12,1,1,2024
13,2024-01-13,1,1,2024
14,2024-01-14,1,1,2024
15,2024-01-15,1,1,2024
16,2024-01-16,1,1,2024
17,2024-01-17,1,1,2024
18,2024-01-18,1,1,2024
19,2024-01-19,1,1,2024
20,2024-01-20,1,1,2024
21,2024-01-21,1,1,2024
22,2024-01-22,1,1,2024
23,2024-01-23,1,1,2024
24,2024-01-24,1,1,2024
25,2024-01-25,1,1,2024
26,2024-01-26,1,1,2024
27,2024-01-27,1,1,2024
28,2024-01-28,1,1,2024
29,2024-01-29,1,1,2024
30,2024-01-30,1,1,2024
31,2024-01-31,1,1,2024
32,2024-02-01,2,1,2024
33,2024-02-02,2,1,2024
34,2024-02-03,2,1,2024
35,2024-02-04,2,1,2024
36,2024-02-05,2,1,2024
37,2024-02-06,2,1,2024
38,2024-02-07,2,1,2024
39,2024-02-08,2,1,2024
40,2024-02-09,2,1,2024
41,2024-02-10,2,1,2024
42,2024-02-11,2,1,2024
43,2024-02-12,2,1,2024
44,2024-02-13,2,1,2024
45,2024-02-14,2,1,2024
46,2024-02-15,2,1,2024
47,2024-02-16,2,1,2024
48,2024-02-17,2,1,2024
49,2024-02-18,2,1,2024
50,2024-02-19,2,1,2024
51,2024-02-20,2,1,2024
52,2024-02-21,2,1,2024
53,2024-02-22,2,1,2024
54,2024-02-23,2,1,2024
55,2024-02-24,2,1,2024
56,2024-02-25,2,1,2024
57,2024-02-26,2,1,2024
58,2024-02-27,2,1,2024
59,2024-02-28,2,1,2024
60,2024-02-29,2,1,2024
61,2024-03-01,3,1,2024
62,2024-03-02,3,1,2024
63,2024-03-03,3,1,2024
64,2024-03-04,3,1,2024
65,2024-03-05,3,1,2024
66,2024-03-06,3,1,2024
67,2024-03-07,3,1,2024
68,2024-03-08,3,1,2024
69,2024-03-09,3,1,2024
70,2024-03-10,3,1,2024
71,2024-03-11,3,1,2024
72,2024-03-12,3,1,2024
73,2024-03-13,3,1,2024
74,2024-03-14,3,1,2024
75,2024-03-15,3,1,2024
76,2024-03-16,3,1,2024
77,2024-03-17,3,1,2024
78,2024-03-18,3,1,2024
79,2024-03-19,3,1,2024
80,2024-03-20,3,1,2024
81,2024-03-21,3,1,2024
82,2024-03-22,3,1,2024
83,2024-03-23,3,1,2024
84,2024-03-24,3,1,2024
85,2024-03-25,3,1,2024
86,2024-03-26,3,1,2024
87,2024-03-27,3,1,2024
88,2024-03-28,3,1,2024
89,2024-03-29,3,1,2024
90,2024-03-30,3,1,2024
